Name,Content Type,Removed in Version,Reason,Replacement Content,Replacement Content Link
ESCU - Detect Risky SPL using Pretrained ML Model - Rule,Detection,5.16.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Command and Scripting Interpreter Delete Usage - Rule,Detection,5.16.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Improperly Formatted Parameter Crashes splunkd - Rule,Detection,5.16.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Add Prohibited Processes to Enterprise Security,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of API Calls per User ARN,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of Excessive AWS Instances Launched by User - MLTK,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Baseline of Excessive AWS Instances Terminated by User - MLTK,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Monitor Successful Backups,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Monitor Unsuccessful Backups,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously seen API call per user roles in CloudTrail,Baseline,5.2.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Cross Account Activity,Baseline,5.4.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Cross Account Activity - Initial,Baseline,5.4.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
ESCU - Previously Seen AWS Cross Account Activity - Update,Baseline,5.4.0,"All detection(s) which leverage this baseline have been deprecated. As such, this baseline has been deprecated as well.",No Replacement Content Available,No Content Link Available
